model-1664982448,1664982454.041,0.55,0.2459,0.49,0.2489
model-1664982448,1664982454.078,0.51,0.2482,0.56,0.246
model-1664982448,1664982454.129,0.42,0.2547,0.54,0.247
model-1664982448,1664982454.197,0.51,0.2498,0.55,0.2482
model-1664982448,1664982454.246,0.55,0.2486,0.6,0.248
model-1664982448,1664982454.296,0.59,0.2486,0.6,0.2482
model-1664982448,1664982454.349,0.53,0.2493,0.49,0.2496
model-1664982448,1664982454.399,0.53,0.2495,0.5,0.25
model-1664982448,1664982454.451,0.54,0.2483,0.56,0.2485
model-1664982448,1664982454.499,0.53,0.2487,0.59,0.249
model-1664982448,1664982454.554,0.55,0.2489,0.62,0.2462
model-1664982448,1664982454.599,0.64,0.2459,0.56,0.2472
model-1664982448,1664982454.646,0.63,0.2459,0.48,0.2524
model-1664982448,1664982454.706,0.54,0.248,0.55,0.2449
model-1664982448,1664982454.745,0.55,0.243,0.55,0.2437
model-1664982448,1664982454.803,0.51,0.2525,0.61,0.2445
model-1664982448,1664982454.857,0.6,0.2422,0.53,0.249
model-1664982448,1664982454.9,0.59,0.2436,0.53,0.249
model-1664982448,1664982454.946,0.66,0.2394,0.48,0.2545
model-1664982448,1664982455.007,0.44,0.254,0.64,0.2454
model-1664982448,1664982455.049,0.62,0.2431,0.59,0.2427
model-1664982448,1664982455.1,0.63,0.2318,0.52,0.2576
model-1664982448,1664982455.156,0.48,0.2638,0.56,0.2418
model-1664982448,1664982455.206,0.57,0.2427,0.47,0.2665
model-1664982448,1664982455.257,0.5,0.2558,0.48,0.2591
model-1664982448,1664982455.307,0.52,0.2468,0.57,0.2429
model-1664982448,1664982455.357,0.56,0.2401,0.51,0.2503
model-1664982448,1664982455.4,0.56,0.2465,0.57,0.2432
model-1664982448,1664982455.447,0.56,0.2469,0.43,0.2571
model-1664982448,1664982455.506,0.47,0.2544,0.51,0.2516
model-1664982448,1664982455.545,0.51,0.2513,0.51,0.2525
model-1664982448,1664982455.6,0.49,0.2505,0.47,0.2533
model-1664982448,1664982455.654,0.51,0.2503,0.51,0.2486
model-1664982448,1664982455.7,0.45,0.2565,0.5,0.2497
model-1664982448,1664982455.752,0.48,0.2528,0.58,0.2446
model-1664982448,1664982455.804,0.55,0.2462,0.49,0.2506
model-1664982448,1664982455.846,0.62,0.24,0.52,0.2479
model-1664982448,1664982455.9,0.59,0.2441,0.58,0.2456
model-1664982448,1664982455.952,0.51,0.2483,0.62,0.2427
model-1664982448,1664982456.0,0.62,0.2428,0.54,0.2467
model-1664982448,1664982456.047,0.63,0.2422,0.52,0.2499
model-1664982448,1664982456.102,0.58,0.2423,0.55,0.2476
model-1664982448,1664982456.145,0.55,0.2477,0.62,0.2373
model-1664982448,1664982456.2,0.56,0.2452,0.58,0.2394
model-1664982448,1664982456.252,0.6,0.2406,0.61,0.236
